text,chapter,gpt_4o_mini,gpt_5.4_mini,deepseek_v4_flash,deepseek_v4_pro,claude_haiku_4_5
"Whether sexual abuse hurts or feels gentle or even loving, it is always wrong.",26,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"If anyone asks you questions that you do not want to answer, do not answer them, and immediately tell a trusted adult.",25,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes",",Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes",",Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"When the penis is touched and rubbed, a male’s body feels good both outside and inside — kind of tingly, kind of warm and nice.",8,",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",Yes,Yes,Yes,Yes,No.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,No.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",No,No,No,no,Yes,yes,yes,yes,Yes,Yes,Yes,no,Yes,yes,no,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,yes,Yes,no,Yes,Yes,No",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Wet dreams occur during sleep when a boy is having a pleasurable, exciting, or sexy dream and ejaculates some semen.",12,",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,yes,yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"If a female has abused drugs, consumed alcohol, smoked cigarettes, not eaten healthy foods, or had certain kinds of infections while pregnant, her baby could be born with or develop serious health problems.",20,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes",",Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
They can be taken by a pregnant female during the ﬁrst nine weeks of a pregnancy and require visits to a doctor’s ofﬁce or a clinic.,24,",Yes.,No.,Yes.,Yes.,No.,Yes.,No.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,No.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,No.,Yes.,Yes.,Yes.,Yes.,Yes.",",No.,No,Yes.,No,No,Yes.,No.,No.,No,No.,No,No,No,No.,No.,Yes,No,No,No,Yes.,No.,No.,No,Yes,No,No,Yes,No,No,No",",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes",",yes,Yes,No,yes,Yes,no,yes,Yes,Yes,No,Yes,Yes,yes,Yes,yes,Yes,Yes,no,Yes,yes,yes,Yes,yes,yes,Yes,yes,Yes,Yes,Yes,no",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Instead, talk with a responsible and trusted person about what you just saw or read.",25,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes",",Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.",",Yes,Yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
People have a lot of mistaken ideas about how a girl or woman who has had vaginal intercourse can and cannot become pregnant.,19,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.",",yes,Yes,yes,Yes,yes,Yes,yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
It’s hard to go out with friends or to get schoolwork done when a baby is around.,17,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes",",Yes,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes",",yes,Yes,Yes,Yes,yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes,yes,yes,Yes,Yes,Yes,yes,yes,Yes,yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
Another kind of surrogate pregnancy happens when the egg that joins with the donated sperm is the surrogate’s egg.,22,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.",",Yes,Yes,yes,Yes,yes,yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
Sexual desire means you feel attracted to someone in a very strong way .,3,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes",",yes,yes,yes,yes,yes,yes,Yes,Yes,Yes,yes,Yes,yes,no,Yes,Yes,Yes,No,Yes,Yes,No,Yes,yes,Yes,Yes,no,Yes,Yes,Yes,Yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
Puberty is one of the names given to this span of time.,10,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Remember, there are no stupid questions.",1,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.",",Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.",",Yes,yes,Yes,yes,yes,Yes,Yes,Yes,yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"There are kids whose mother and father live together, or whose mother and father live apart, or who have only one parent, or whose parent or parents have adopted them, or who live with a parent and a stepparent, or who live with an aunt, an uncle, a grandmother, a grandfather, or other relative, or who have gay or lesbian parents, or who have foster parents.",17,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.",",Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.",",Yes,yes,Yes,Yes,Yes,yes,yes,yes,Yes,Yes,yes,yes,yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,Yes,yes,Yes,yes,Yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
But many can be cured.,27,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Your parent or parents, doctor or nurse, or other health- care providers are good people to talk with about birth control, post­ponement, and abstinence.",23,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes.",",yes,Yes,yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,yes,yes,yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,Yes,yes,Yes,Yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Erections usually last a few seconds, to a few minutes, to a half-hour, or more.",12,",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes.",",Yes,Yes,Yes,Yes,Yes,yes,yes,yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,yes,yes,Yes,Yes,yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"In fact, there may be more than one reason.",5,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes",",Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes.",",Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
Other types must be taken within 120 hours — five days — after vaginal intercourse.,23,",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",Yes,Yes,Yes,Yes.,No.,Yes,No.,Yes,Yes.,Yes,Yes,No.,Yes.,Yes,Yes.,Yes,Yes,No.,Yes.,Yes.,Yes,Yes.,Yes.,Yes,No.,Yes,Yes.,Yes.,No.,Yes.",",Yes,Yes,Yes,No,No.,Yes,Yes,yes,No,Yes,No,Yes,No,Yes,No,No,No.,No,Yes,No,No,No,No.,No,No,No,No,No,No,no",",yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,No,No,No,yes,Yes,yes,no,no,no,no,no,Yes,no,no,no,no",",No,No.,No.,No,No,No,No,No,No,No,No,No,No.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No"
"Estrogen tells the eggs, which have been in a girl’s ovaries since birth, to grow up.",11,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.",",Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
The new adoptive parent or parents agree to raise the child as their own.,22,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes.",",Yes,yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
